,IM,豆瓣,类别
1672,IMDb评分　5.3/10 from 8102 users,豆瓣评分　5.9/10 from 594 users,类别　喜剧
1673,IMDb评分　5.6/10 from 9868 users,豆瓣评分　5.5/10 from 120 users,类别　喜剧
1674,IMDb评分　5.3/10 from 4020 users,豆瓣评分　5.5/10 from 276 users,类别　喜剧
1676,IMDb评分　6.1/10 from 29 users,豆瓣评分　5.2/10 from 183 users,类别　剧情/犯罪/悬疑
1678,IMDb评分　6.2/10 from 1034 users,豆瓣评分　6.5/10 from 460 users,类别　动画
1679,IMDb评分　8.1/10 from 64 users,豆瓣评分　7.0/10 from 149 users,类别　动作
1680,IMDb评分　6.4/10 from 114 users,豆瓣评分　7.0/10 from 1605 users,类别　剧情/犯罪
1682,IMDb评分　6.9/10 from 308 users,豆瓣评分　7.5/10 from 1544 users,类别　动画
1683,IMDb评分　5.8/10 from 13 users,豆瓣评分　5.8/10 from 175 users,类别　剧情/喜剧/动作
1687,IMDb评分　6.4/10 from 13027 users,豆瓣评分　6.5/10 from 92 users,类别　动作/惊悚/冒险
1689,IMDb评分　8.2/10 from 7879 users,豆瓣评分　8.0/10 from 151455 users,类别　剧情/音乐
1694,IMDb评分　6.8/10 from 1266 users,豆瓣评分　6.4/10 from 113 users,类别　剧情/战争
1696,IMDb评分　4.2/10 from 838 users,豆瓣评分　4.6/10 from 166 users,类别　科幻/惊悚
1697,IMDb评分　5.7/10 from 847 users,豆瓣评分　7.1/10 from 375 users,类别　恐怖/犯罪/冒险
1698,IMDb评分　7.1/10 from 5353 users,豆瓣评分　5.9/10 from 89 users,类别　恐怖
1699,IMDb评分　6.5/10 from 3408 users,豆瓣评分　6.1/10 from 153 users,类别　动作/爱情
1700,IMDb评分　7.8/10 from 10702 users,豆瓣评分　6.6/10 from 328 users,类别　剧情/喜剧
1701,IMDb评分　8.7/10 from 46091 users,豆瓣评分　7.1/10 from 2824 users,类别　剧情/动作/战争/奇幻/冒险
1702,IMDb评分　7.4/10 from 11765 users,豆瓣评分　7.1/10 from 23973 users,类别　剧情/喜剧
1703,IMDb评分　7.3/10 from 3983 users,豆瓣评分　7.2/10 from 698 users,类别　剧情/惊悚
1705,IMDb评分　7.9/10 from 10461 users,豆瓣评分　8.2/10 from 7355 users,类别　剧情/喜剧
1706,IMDb评分　5.7/10 from 114 users,豆瓣评分　6.2/10 from 62 users,类别　剧情/犯罪
1707,IMDb评分　5.1/10 from 311 users,豆瓣评分　7.2/10 from 204 users,类别　悬疑/惊悚
1708,IMDb评分　3.8/10 from 8 users,豆瓣评分　4.9/10 from 141 users,类别　喜剧
1714,IMDb评分　6.1/10 from 70 users,豆瓣评分　5.0/10 from 21979 users,类别　动作/科幻
1716,IMDb评分　5.9/10 from 107 users,豆瓣评分　6.1/10 from 17697 users,类别　喜剧/爱情/奇幻
1720,IMDb评分　6.4/10 from 8 users,豆瓣评分　4.6/10 from 1497 users,类别　剧情/悬疑
1721,IMDb评分　7.1/10 from 7 users,豆瓣评分　6.4/10 from 851 users,类别　剧情/喜剧
1722,IMDb评分　6.4/10 from 10 users,豆瓣评分　3.0/10 from 4402 users,类别　喜剧/奇幻
1725,IMDb评分　7.2/10 from 43 users,豆瓣评分　6.6/10 from 23876 users,类别　剧情/动作/犯罪
1727,IMDb评分　6.5/10 from 604 users,豆瓣评分　7.1/10 from 16009 users,类别　动画
1728,IMDb评分　7.1/10 from 44 users,豆瓣评分　4.3/10 from 153 users,类别　悬疑/惊悚
1729,IMDb评分　7.2/10 from 10226 users,豆瓣评分　7.2/10 from 52538 users,类别　动作/惊悚
1730,IMDb评分　6.6/10 from 322 users,豆瓣评分　7.2/10 from 224354 users,类别　喜剧/奇幻
1731,IMDb评分　7.3/10 from 28 users,豆瓣评分　5.5/10 from 1404 users,类别　喜剧/奇幻
1732,IMDb评分　6.9/10 from 206 users,豆瓣评分　7.3/10 from 89012 users,类别　剧情/犯罪/悬疑/惊悚
1734,IMDb评分　7.2/10 from 189 users,豆瓣评分　8.4/10 from 81278 users,类别　剧情/犯罪/悬疑
1735,IMDb评分　8.5/10 from 31 users,豆瓣评分　5.1/10 from 3694 users,类别　爱情/悬疑
1736,IMDb评分　7.9/10 from 134 users,豆瓣评分　8.6/10 from 33349 users,类别　剧情/爱情
1738,IMDb评分　4.4/10 from 16 users,豆瓣评分　5.2/10 from 12060 users,类别　动作/犯罪
1742,IMDb评分　5.6/10 from 62 users,豆瓣评分　4.8/10 from 24217 users,类别　动作/奇幻
1743,IMDb评分　5.4/10 from 26 users,豆瓣评分　5.4/10 from 49645 users,类别　动作/悬疑/犯罪
1744,IMDb评分　5.3/10 from 183 users,豆瓣评分　5.4/10 from 82790 users,类别　剧情/动作/奇幻
1746,IMDb评分　5.5/10 from 806 users,豆瓣评分　5.1/10 from 12828 users,类别　剧情/动作/科幻
1749,IMDb评分　5.8/10 from 230 users,豆瓣评分　4.8/10 from 11685 users,类别　剧情/动作/悬疑
1764,IMDb评分　4.7/10 from 68 users,豆瓣评分　4.6/10 from 33824 users,类别　喜剧/恐怖
1776,IMDb评分　6.3/10 from 15 users,豆瓣评分　4.8/10 from 9004 users,类别　喜剧/动作/爱情/奇幻
1778,IMDb评分　5.0/10 from 106 users,豆瓣评分　4.5/10 from 161 users,类别　喜剧/恐怖
1786,IMDb评分　6.8/10 from 13 users,豆瓣评分　5.4/10 from 3189 users,类别　剧情/犯罪/悬疑
1804,IMDb评分　5.4/10 from 2346 users,豆瓣评分　6.6/10 from 99 users,类别　剧情/喜剧
1807,IMDb评分　7.5/10 from 25 users,豆瓣评分　6.1/10 from 8795 users,类别　剧情/喜剧
1808,IMDb评分　6.2/10 from 22 users,豆瓣评分　5.4/10 from 839 users,类别　喜剧/爱情
1809,IMDb评分　6.7/10 from 93 users,豆瓣评分　6.3/10 from 796 users,类别　喜剧
1810,IMDb评分　8.6/10 from 18 users,豆瓣评分　6.5/10 from 765 users,类别　爱情
1811,IMDb评分　6.1/10 from 140 users,豆瓣评分　6.4/10 from 9638 users,类别　剧情/爱情
1812,IMDb评分　7.7/10 from 71 users,豆瓣评分　7.1/10 from 394 users,类别　爱情
1813,IMDb评分　6.6/10 from 104 users,豆瓣评分　7.3/10 from 1276 users,类别　剧情/爱情
1814,IMDb评分　7.2/10 from 261 users,豆瓣评分　7.3/10 from 682 users,类别　剧情/动作/奇幻
1815,IMDb评分　6.7/10 from 170 users,豆瓣评分　7.5/10 from 26807 users,类别　喜剧/运动
1816,IMDb评分　7.0/10 from 79 users,豆瓣评分　8.7/10 from 3529 users,类别　喜剧/家庭
1817,IMDb评分　6.2/10 from 21 users,豆瓣评分　5.0/10 from 79 users,类别　惊悚/恐怖
1819,IMDb评分　8.0/10 from 44 users,豆瓣评分　4.6/10 from 375 users,类别　剧情/喜剧/爱情
1822,IMDb评分　6.8/10 from 8693 users,豆瓣评分　6.1/10 from 639 users,类别　剧情/传记/历史
1823,IMDb评分　6.9/10 from 4861 users,豆瓣评分　6.1/10 from 169 users,类别　剧情/传记/历史
1827,IMDb评分　5.5/10 from 1574 users,豆瓣评分　6.1/10 from 792 users,类别　喜剧
1828,IMDb评分　5.5/10 from 1026 users,豆瓣评分　6.2/10 from 72 users,类别　动作/犯罪/惊悚
1829,IMDb评分　6.6/10 from 3499 users,豆瓣评分　6.3/10 from 73 users,类别　剧情/历史/惊悚
1830,IMDb评分　5.4/10 from 7374 users,豆瓣评分　6.3/10 from 4186 users,类别　喜剧/犯罪/悬疑
1831,IMDb评分　6.4/10 from 5312 users,豆瓣评分　6.3/10 from 3379 users,类别　喜剧/惊悚/恐怖
1833,IMDb评分　6.2/10 from 3940 users,豆瓣评分　6.4/10 from 399 users,类别　剧情/爱情
1834,IMDb评分　6.9/10 from 2712 users,豆瓣评分　6.4/10 from 299 users,类别　剧情/传记/同性
1835,IMDb评分　6.2/10 from 2910 users,豆瓣评分　6.4/10 from 235 users,类别　剧情/爱情/悬疑
1836,IMDb评分　7.0/10 from 1399 users,豆瓣评分　6.5/10 from 156 users,类别　科幻/惊悚
1837,IMDb评分　7.1/10 from 3065 users,豆瓣评分　6.6/10 from 147 users,类别　剧情/喜剧/传记
1838,IMDb评分　6.6/10 from 4022 users,豆瓣评分　5.9/10 from 471 users,类别　剧情/传记
1839,IMDb评分　6.7/10 from 31347 users,豆瓣评分　5.0/10 from 4028 users,类别　动作/科幻/冒险
1841,IMDb评分　5.6/10 from 951 users,豆瓣评分　6.8/10 from 225 users,类别　剧情/爱情/惊悚
1844,IMDb评分　7.4/10 from 2063 users,豆瓣评分　6.9/10 from 336 users,类别　剧情/惊悚/同性/奇幻
1846,IMDb评分　7.1/10 from 4105 users,豆瓣评分　7.0/10 from 166 users,类别　剧情/传记/运动
1847,IMDb评分　6.8/10 from 1383 users,豆瓣评分　7.0/10 from 436 users,类别　喜剧/传记/爱情
1848,IMDb评分　6.7/10 from 67136 users,豆瓣评分　7.0/10 from 101258 users,类别　剧情/犯罪/悬疑
