,IMDB,url,产地,年代,片名,类别,译名,豆瓣
1535,"6.3,10,8780",https://www.dy2018.com/i/98790.html,美国,2017,The Mountain Between Us,剧情/爱情/冒险,远山恋人/绝处逢山(台)/冰峰逃生(港)/爱情高峰险(港)/我们之间的那座山/冰封逃生,"5.9,10,290"
1536,"6.6,10,2518",https://www.dy2018.com/i/97883.html,,2017,The Discovery,爱情/科幻,发现,"6.3,10,189"
1537,"6.4,10,28480",https://www.dy2018.com/i/98707.html,美国,2017,回到火星 The Space Between Us,剧情/爱情/科幻/冒险,爱上火星男孩(台)/来自火星的爱(港)/世界之外/Out of This World,"5.8,10,5493"
1538,"5.8,10,3959",https://www.dy2018.com/i/98119.html,,2017,Smurfs: The Lost Village,喜剧/动画/家庭,蓝精灵：寻找神秘村/蓝精灵3：失落的村庄/蓝色小精灵：失落的蓝蓝村(台)/超级蓝精灵：魔法重启/蓝精灵3,"6.5,10,5856"
1539,"6.5,10,13626",https://www.dy2018.com/i/98675.html,美国,2017,American Assassin,动作/惊悚,美国刺客/美国特工(港),"5.4,10,234"
1540,"6.5,10,2155",https://www.dy2018.com/i/99203.html,美国,2017,强岛 Strong Island,纪录片,坚强之岛,
1541,"6.5,10,1505",https://www.dy2018.com/i/98865.html,美国,2017,Rebel in the Rye,剧情/传记,麦田里的反叛者/叛逆自传：我的麦田捕曲(港)/叛逆的麦田捕手(台)/麦田里的叛逆者/麦田里的守望者,"6.6,10,217"
1542,"6.6,10,192",https://www.dy2018.com/i/98659.html,美国,2017,Sweet Virginia,剧情/惊悚,亲切的弗吉尼亚,
1543,,https://www.dy2018.com/i/99748.html,,,,,无尽/永无止境/永劫(台),
1544,"6.3,10,2400",https://www.dy2018.com/i/98250.html,美国,2017,The Wall,剧情/战争/惊悚,生死之墙/危墙狙击(台),"6.6,10,89"
1545,"7.1,10,142770",https://www.dy2018.com/i/98818.html,美国,2017,Justice League,动作/科幻/奇幻/冒险,正义联盟/TheJusticeLeaguePartOne,"6.7,10,104889"
1546,"5.1,10,193",https://www.dy2018.com/i/99461.html,美国/日本,2017,Gehenna: Where Death Lives,悬疑/惊悚/恐怖,地狱：亡灵栖所,"6.7,10,98"
1547,"7.3,10,10723",https://www.dy2018.com/i/99351.html,美国,2017,Hostiles,剧情/西部/冒险,敌对分子/敌对者,"6.7,10,163"
1548,"7.0,10,46684",https://www.dy2018.com/i/98741.html,美国,2017,Mother!,剧情/悬疑/惊悚,母亲！/母亲/母亲啊/妈妈(港),"6.8,10,2535"
1549,"7.4,10,6297",https://www.dy2018.com/i/99858.html,美国,2017,First Reformed,剧情/惊悚,第一归正会/重组教堂/第一次重组,"6.9,10,257"
1550,"6.5,10,3302",https://www.dy2018.com/i/98959.html,美国,2017,Thank You for Your Service,剧情/传记/战争,感谢您的服役/感谢您为国效力/荣归以后(港)/感谢服役/谢谢你的服役/谢谢你的服务,"6.9,10,115"
1551,"7.1,10,769",https://www.dy2018.com/i/98978.html,美国,2018,Batman: Gotham by Gaslight,动画,蝙蝠侠：煤气灯下的哥谭,
1552,"7.0,10,20482",https://www.dy2018.com/i/98558.html,美国,2017,Cars 3,喜剧/动画/冒险,赛车总动员3：极速挑战/反斗车王3(港)/Cars 3：闪电再起(台)/赛车总动员3/汽车总动员3/小汽车的故事3/飞车正传3,"7.1,10,9033"
1553,"6.2,10,2587",https://www.dy2018.com/i/98239.html,,2016,勒索风云,,Extortion,"7.1,10,387"
1554,"8.0,10,160551",https://www.dy2018.com/i/98153.html,美国,2017,Wonder Woman,动作/奇幻/冒险,神奇女侠/神力女超人(台),"7.2,10,143393"
1555,"7.2,10,78910",https://www.dy2018.com/i/99148.html,美国,2017,勇敢者游戏：决战丛林 Jumanji: Welcome to the Jungle,动作/奇幻/冒险,野蛮游戏：疯狂丛林(台)/逃出魔幻纪：丛林挑机(港)/新勇敢者的游戏/勇敢者的游戏,"7.2,10,61867"
1556,"7.5,10,323133",https://www.dy2018.com/i/99167.html,美国,2017,Star Wars: The Last Jedi,动作/科幻/冒险,星球大战8：最后的绝地武士/星球大战：最后绝地武士(港)/星球大战8/星战8,"7.3,10,65681"
1557,"7.2,10,48670",https://www.dy2018.com/i/98142.html,美国,2017,King Arthur: Legend of the Sword,动作/奇幻/冒险,亚瑟王：斗兽争霸/亚瑟王：圣剑传奇/亚瑟：王者之剑(台)/神剑亚瑟王(港)/亚瑟王：圆桌骑士/亚瑟王：剑之传奇/新亚瑟王/圆桌骑士,"7.4,10,19724"
1558,"7.7,10,95861",https://www.dy2018.com/i/99113.html,美国,2017,The Shape of Water,剧情/奇幻/冒险,水形物语/忘形水(港)/水底情深(台)/水形奇缘/水之形/水的形状/水无常形,"7.5,10,49298"
1559,"7.9,10,159276",https://www.dy2018.com/i/98435.html,,2017,蜘蛛侠：英雄归来 Spider-Man: Homecoming,,蜘蛛侠：强势回归(港)/蜘蛛人：返校日(台)/新蜘蛛侠/蜘蛛侠：归来/蜘蛛侠：回家/蜘蛛侠：返校季/蜘蛛侠：返校节/蜘蛛侠：归乡/蜘蛛侠：新复仇者/The Amazing Spider-Man 3/Spider-Man: The New Avenger/Spiderman,"7.5,10,109543"
1560,"8.1,10,187899",https://www.dy2018.com/i/98961.html,美国,2017,雷神3：诸神黄昏 Thor: Ragnarok,动作/奇幻/冒险,雷神索尔3：诸神黄昏(台)/雷神奇侠3：诸神黄昏(港)/雷神3：诸神的黄昏/Thor 3,"7.5,10,121997"
1561,"6.5,10,16471",https://www.dy2018.com/i/98024.html,美国,2017,The Boss Baby,喜剧/动画,宝贝老板/娃娃老板/波士BB(港),"7.6,10,1495"
1562,"7.1,10,3367",https://www.dy2018.com/i/98578.html,美国,2017,The Glass Castle,剧情/传记,玻璃城堡,"7.6,10,109"
1563,"7.3,10,2292",https://www.dy2018.com/i/97684.html,,2017,Justice League Dark,动画/奇幻,黑暗正义联盟,"7.7,10,220"
1564,"7.8,10,17413",https://www.dy2018.com/i/99011.html,美国,2017,The Florida Project,剧情/儿童,佛罗里达乐园/迪士尼的夏天(台)/欢迎光临奇幻城堡(台)/欢迎光临梦幻乐园/佛罗里达公租乐事/佛罗里达廉租房/佛罗里达项目/佛罗里达计划,"8.0,10,9089"
1565,"8.2,10,162504",https://www.dy2018.com/i/97692.html,,2016,Arrival,剧情/科幻,降临/你一生的故事/异星入境(台)/天煞异降(港)/抵达/抵达者,"7.8,10,87694"
1566,"7.8,10,659",https://www.dy2018.com/i/97792.html,,2017,成为沃伦·巴菲特,纪录片,Becoming Warren Buffett,"8.7,10,181"
